Zone Name,Region,Population,Area Sq Km,Opened On,Is Active
Bulk Zone 0940,South,1940,40.5,2026-06-17,yes
Bulk Zone 0941,North,1941,41.5,2026-06-18,yes
Bulk Zone 0942,South,1942,42.5,2026-06-19,no
Bulk Zone 0943,North,1943,43.5,2026-06-20,yes
Bulk Zone 0944,South,1944,44.5,2026-06-21,yes
Bulk Zone 0945,North,1945,45.5,2026-06-22,no
Bulk Zone 0946,South,1946,46.5,2026-06-23,yes
Bulk Zone 0947,North,1947,47.5,2026-06-24,yes
Bulk Zone 0948,South,1948,48.5,2026-06-25,no
Bulk Zone 0949,North,1949,49.5,2026-06-26,yes
Bulk Zone 0950,South,1950,50.5,2026-06-27,yes
Bulk Zone 0951,North,1951,51.5,2026-06-28,no
Bulk Zone 0952,South,1952,52.5,2026-06-01,yes
Bulk Zone 0953,North,1953,53.5,2026-06-02,yes
Bulk Zone 0954,South,1954,54.5,2026-06-03,no
Bulk Zone 0955,North,1955,55.5,2026-06-04,yes
Bulk Zone 0956,South,1956,56.5,2026-06-05,yes
Bulk Zone 0957,North,1957,57.5,2026-06-06,no
Bulk Zone 0958,South,1958,58.5,2026-06-07,yes
Bulk Zone 0959,North,1959,59.5,2026-06-08,yes
Bulk Zone 0960,South,1960,60.5,2026-06-09,no
Bulk Zone 0961,North,1961,61.5,2026-06-10,yes
Bulk Zone 0962,South,1962,62.5,2026-06-11,yes
Bulk Zone 0963,North,1963,63.5,2026-06-12,no
Bulk Zone 0964,South,1964,64.5,2026-06-13,yes
Bulk Zone 0965,North,1965,65.5,2026-06-14,yes
Bulk Zone 0966,South,1966,66.5,2026-06-15,no
Bulk Zone 0967,North,1967,67.5,2026-06-16,yes
Bulk Zone 0968,South,1968,68.5,2026-06-17,yes
Bulk Zone 0969,North,1969,69.5,2026-06-18,no
Bulk Zone 0970,South,1970,70.5,2026-06-19,yes
Bulk Zone 0971,North,1971,71.5,2026-06-20,yes
Bulk Zone 0972,South,1972,72.5,2026-06-21,no
Bulk Zone 0973,North,1973,73.5,2026-06-22,yes
Bulk Zone 0974,South,1974,74.5,2026-06-23,yes
Bulk Zone 0975,North,1975,75.5,2026-06-24,no
Bulk Zone 0976,South,1976,76.5,2026-06-25,yes
Bulk Zone 0977,North,1977,77.5,2026-06-26,yes
Bulk Zone 0978,South,1978,78.5,2026-06-27,no
Bulk Zone 0979,North,1979,79.5,2026-06-28,yes
Bulk Zone 0980,South,1980,80.5,2026-06-01,yes
Bulk Zone 0981,North,1981,81.5,2026-06-02,no
Bulk Zone 0982,South,1982,82.5,2026-06-03,yes
Bulk Zone 0983,North,1983,83.5,2026-06-04,yes
Bulk Zone 0984,South,1984,84.5,2026-06-05,no
Bulk Zone 0985,North,1985,85.5,2026-06-06,yes
Bulk Zone 0986,South,1986,86.5,2026-06-07,yes
Bulk Zone 0987,North,1987,87.5,2026-06-08,no
Bulk Zone 0988,South,1988,88.5,2026-06-09,yes
Bulk Zone 0989,North,1989,89.5,2026-06-10,yes
Bulk Zone 0990,South,1990,0.5,2026-06-11,no
Bulk Zone 0991,North,1991,1.5,2026-06-12,yes
Bulk Zone 0992,South,1992,2.5,2026-06-13,yes
Bulk Zone 0993,North,1993,3.5,2026-06-14,no
Bulk Zone 0994,South,1994,4.5,2026-06-15,yes
Bulk Zone 0995,North,1995,5.5,2026-06-16,yes
Bulk Zone 0996,South,1996,6.5,2026-06-17,no
Bulk Zone 0997,North,1997,7.5,2026-06-18,yes
Bulk Zone 0998,South,1998,8.5,2026-06-19,yes
Bulk Zone 0999,North,1999,9.5,2026-06-20,no
Bulk Zone 1000,South,2000,10.5,2026-06-21,yes
Bulk Zone 1001,North,2001,11.5,2026-06-22,yes
Bulk Zone 1002,South,2002,12.5,2026-06-23,no
Bulk Zone 1003,North,2003,13.5,2026-06-24,yes
Bulk Zone 1004,South,2004,14.5,2026-06-25,yes
Bulk Zone 1005,North,2005,15.5,2026-06-26,no
Bulk Zone 1006,South,2006,16.5,2026-06-27,yes
Bulk Zone 1007,North,2007,17.5,2026-06-28,yes
Bulk Zone 1008,South,2008,18.5,2026-06-01,no
Bulk Zone 1009,North,2009,19.5,2026-06-02,yes
Bulk Zone 1010,South,2010,20.5,2026-06-03,yes
Bulk Zone 1011,North,2011,21.5,2026-06-04,no
Bulk Zone 1012,South,2012,22.5,2026-06-05,yes
Bulk Zone 1013,North,2013,23.5,2026-06-06,yes
Bulk Zone 1014,South,2014,24.5,2026-06-07,no
Bulk Zone 1015,North,2015,25.5,2026-06-08,yes
Bulk Zone 1016,South,2016,26.5,2026-06-09,yes
Bulk Zone 1017,North,2017,27.5,2026-06-10,no
Bulk Zone 1018,South,2018,28.5,2026-06-11,yes
Bulk Zone 1019,North,2019,29.5,2026-06-12,yes
Bulk Zone 1020,South,2020,30.5,2026-06-13,no
Bulk Zone 1021,North,2021,31.5,2026-06-14,yes
Bulk Zone 1022,South,2022,32.5,2026-06-15,yes
Bulk Zone 1023,North,2023,33.5,2026-06-16,no
Bulk Zone 1024,South,2024,34.5,2026-06-17,yes
Bulk Zone 1025,North,2025,35.5,2026-06-18,yes
Bulk Zone 1026,South,2026,36.5,2026-06-19,no
Bulk Zone 1027,North,2027,37.5,2026-06-20,yes
Bulk Zone 1028,South,2028,38.5,2026-06-21,yes
Bulk Zone 1029,North,2029,39.5,2026-06-22,no
Bulk Zone 1030,South,2030,40.5,2026-06-23,yes
Bulk Zone 1031,North,2031,41.5,2026-06-24,yes
Bulk Zone 1032,South,2032,42.5,2026-06-25,no
Bulk Zone 1033,North,2033,43.5,2026-06-26,yes
Bulk Zone 1034,South,2034,44.5,2026-06-27,yes
Bulk Zone 1035,North,2035,45.5,2026-06-28,no
Bulk Zone 1036,South,2036,46.5,2026-06-01,yes
Bulk Zone 1037,North,2037,47.5,2026-06-02,yes
Bulk Zone 1038,South,2038,48.5,2026-06-03,no
Bulk Zone 1039,North,2039,49.5,2026-06-04,yes
Bulk Zone 1040,South,2040,50.5,2026-06-05,yes
Bulk Zone 1041,North,2041,51.5,2026-06-06,no
Bulk Zone 1042,South,2042,52.5,2026-06-07,yes
Bulk Zone 1043,North,2043,53.5,2026-06-08,yes
Bulk Zone 1044,South,2044,54.5,2026-06-09,no
Bulk Zone 1045,North,2045,55.5,2026-06-10,yes
Bulk Zone 1046,South,2046,56.5,2026-06-11,yes
Bulk Zone 1047,North,2047,57.5,2026-06-12,no
Bulk Zone 1048,South,2048,58.5,2026-06-13,yes
Bulk Zone 1049,North,2049,59.5,2026-06-14,yes
Bulk Zone 1050,South,2050,60.5,2026-06-15,no
Bulk Zone 1051,North,2051,61.5,2026-06-16,yes
Bulk Zone 1052,South,2052,62.5,2026-06-17,yes
Bulk Zone 1053,North,2053,63.5,2026-06-18,no
Bulk Zone 1054,South,2054,64.5,2026-06-19,yes
Bulk Zone 1055,North,2055,65.5,2026-06-20,yes
Bulk Zone 1056,South,2056,66.5,2026-06-21,no
Bulk Zone 1057,North,2057,67.5,2026-06-22,yes
Bulk Zone 1058,South,2058,68.5,2026-06-23,yes
Bulk Zone 1059,North,2059,69.5,2026-06-24,no
Bulk Zone 1060,South,2060,70.5,2026-06-25,yes
Bulk Zone 1061,North,2061,71.5,2026-06-26,yes
Bulk Zone 1062,South,2062,72.5,2026-06-27,no
Bulk Zone 1063,North,2063,73.5,2026-06-28,yes
Bulk Zone 1064,South,2064,74.5,2026-06-01,yes
Bulk Zone 1065,North,2065,75.5,2026-06-02,no
Bulk Zone 1066,South,2066,76.5,2026-06-03,yes
Bulk Zone 1067,North,2067,77.5,2026-06-04,yes
Bulk Zone 1068,South,2068,78.5,2026-06-05,no
Bulk Zone 1069,North,2069,79.5,2026-06-06,yes
Bulk Zone 1070,South,2070,80.5,2026-06-07,yes
Bulk Zone 1071,North,2071,81.5,2026-06-08,no
Bulk Zone 1072,South,2072,82.5,2026-06-09,yes
Bulk Zone 1073,North,2073,83.5,2026-06-10,yes
Bulk Zone 1074,South,2074,84.5,2026-06-11,no
Bulk Zone 1075,North,2075,85.5,2026-06-12,yes
Bulk Zone 1076,South,2076,86.5,2026-06-13,yes
Bulk Zone 1077,North,2077,87.5,2026-06-14,no
Bulk Zone 1078,South,2078,88.5,2026-06-15,yes
Bulk Zone 1079,North,2079,89.5,2026-06-16,yes
Bulk Zone 1080,South,2080,0.5,2026-06-17,no
Bulk Zone 1081,North,2081,1.5,2026-06-18,yes
Bulk Zone 1082,South,2082,2.5,2026-06-19,yes
Bulk Zone 1083,North,2083,3.5,2026-06-20,no
Bulk Zone 1084,South,2084,4.5,2026-06-21,yes
Bulk Zone 1085,North,2085,5.5,2026-06-22,yes
Bulk Zone 1086,South,2086,6.5,2026-06-23,no
Bulk Zone 1087,North,2087,7.5,2026-06-24,yes
Bulk Zone 1088,South,2088,8.5,2026-06-25,yes
Bulk Zone 1089,North,2089,9.5,2026-06-26,no
Bulk Zone 1090,South,2090,10.5,2026-06-27,yes
Bulk Zone 1091,North,2091,11.5,2026-06-28,yes
Bulk Zone 1092,South,2092,12.5,2026-06-01,no
Bulk Zone 1093,North,2093,13.5,2026-06-02,yes
Bulk Zone 1094,South,2094,14.5,2026-06-03,yes
Bulk Zone 1095,North,2095,15.5,2026-06-04,no
Bulk Zone 1096,South,2096,16.5,2026-06-05,yes
Bulk Zone 1097,North,2097,17.5,2026-06-06,yes
Bulk Zone 1098,South,2098,18.5,2026-06-07,no
Bulk Zone 1099,North,2099,19.5,2026-06-08,yes
Bulk Zone 1100,South,2100,20.5,2026-06-09,yes
Bulk Zone 1101,North,2101,21.5,2026-06-10,no
Bulk Zone 1102,South,2102,22.5,2026-06-11,yes
Bulk Zone 1103,North,2103,23.5,2026-06-12,yes
Bulk Zone 1104,South,2104,24.5,2026-06-13,no
Bulk Zone 1105,North,2105,25.5,2026-06-14,yes
Bulk Zone 1106,South,2106,26.5,2026-06-15,yes
Bulk Zone 1107,North,2107,27.5,2026-06-16,no
Bulk Zone 1108,South,2108,28.5,2026-06-17,yes
Bulk Zone 1109,North,2109,29.5,2026-06-18,yes
Bulk Zone 1110,South,2110,30.5,2026-06-19,no
Bulk Zone 1111,North,2111,31.5,2026-06-20,yes
Bulk Zone 1112,South,2112,32.5,2026-06-21,yes
Bulk Zone 1113,North,2113,33.5,2026-06-22,no
Bulk Zone 1114,South,2114,34.5,2026-06-23,yes
Bulk Zone 1115,North,2115,35.5,2026-06-24,yes
Bulk Zone 1116,South,2116,36.5,2026-06-25,no
Bulk Zone 1117,North,2117,37.5,2026-06-26,yes
Bulk Zone 1118,South,2118,38.5,2026-06-27,yes
Bulk Zone 1119,North,2119,39.5,2026-06-28,no
Bulk Zone 1120,South,2120,40.5,2026-06-01,yes
Bulk Zone 1121,North,2121,41.5,2026-06-02,yes
Bulk Zone 1122,South,2122,42.5,2026-06-03,no
Bulk Zone 1123,North,2123,43.5,2026-06-04,yes
Bulk Zone 1124,South,2124,44.5,2026-06-05,yes
Bulk Zone 1125,North,2125,45.5,2026-06-06,no
Bulk Zone 1126,South,2126,46.5,2026-06-07,yes
Bulk Zone 1127,North,2127,47.5,2026-06-08,yes
Bulk Zone 1128,South,2128,48.5,2026-06-09,no
Bulk Zone 1129,North,2129,49.5,2026-06-10,yes
Bulk Zone 1130,South,2130,50.5,2026-06-11,yes
Bulk Zone 1131,North,2131,51.5,2026-06-12,no
Bulk Zone 1132,South,2132,52.5,2026-06-13,yes
Bulk Zone 1133,North,2133,53.5,2026-06-14,yes
Bulk Zone 1134,South,2134,54.5,2026-06-15,no
Bulk Zone 1135,North,2135,55.5,2026-06-16,yes
Bulk Zone 1136,South,2136,56.5,2026-06-17,yes
Bulk Zone 1137,North,2137,57.5,2026-06-18,no
Bulk Zone 1138,South,2138,58.5,2026-06-19,yes
Bulk Zone 1139,North,2139,59.5,2026-06-20,yes
Bulk Zone 1140,South,2140,60.5,2026-06-21,no
Bulk Zone 1141,North,2141,61.5,2026-06-22,yes
Bulk Zone 1142,South,2142,62.5,2026-06-23,yes
Bulk Zone 1143,North,2143,63.5,2026-06-24,no
Bulk Zone 1144,South,2144,64.5,2026-06-25,yes
Bulk Zone 1145,North,2145,65.5,2026-06-26,yes
Bulk Zone 1146,South,2146,66.5,2026-06-27,no
Bulk Zone 1147,North,2147,67.5,2026-06-28,yes
Bulk Zone 1148,South,2148,68.5,2026-06-01,yes
Bulk Zone 1149,North,2149,69.5,2026-06-02,no
Bulk Zone 1150,South,2150,70.5,2026-06-03,yes
Bulk Zone 1151,North,2151,71.5,2026-06-04,yes
Bulk Zone 1152,South,2152,72.5,2026-06-05,no
Bulk Zone 1153,North,2153,73.5,2026-06-06,yes
Bulk Zone 1154,South,2154,74.5,2026-06-07,yes
Bulk Zone 1155,North,2155,75.5,2026-06-08,no
Bulk Zone 1156,South,2156,76.5,2026-06-09,yes
Bulk Zone 1157,North,2157,77.5,2026-06-10,yes
Bulk Zone 1158,South,2158,78.5,2026-06-11,no
Bulk Zone 1159,North,2159,79.5,2026-06-12,yes
Bulk Zone 1160,South,2160,80.5,2026-06-13,yes
Bulk Zone 1161,North,2161,81.5,2026-06-14,no
Bulk Zone 1162,South,2162,82.5,2026-06-15,yes
Bulk Zone 1163,North,2163,83.5,2026-06-16,yes
Bulk Zone 1164,South,2164,84.5,2026-06-17,no
Bulk Zone 1165,North,2165,85.5,2026-06-18,yes
Bulk Zone 1166,South,2166,86.5,2026-06-19,yes
Bulk Zone 1167,North,2167,87.5,2026-06-20,no
Bulk Zone 1168,South,2168,88.5,2026-06-21,yes
Bulk Zone 1169,North,2169,89.5,2026-06-22,yes
Bulk Zone 1170,South,2170,0.5,2026-06-23,no
Bulk Zone 1171,North,2171,1.5,2026-06-24,yes
Bulk Zone 1172,South,2172,2.5,2026-06-25,yes
Bulk Zone 1173,North,2173,3.5,2026-06-26,no
Bulk Zone 1174,South,2174,4.5,2026-06-27,yes
Bulk Zone 1175,North,2175,5.5,2026-06-28,yes
Bulk Zone 1176,South,2176,6.5,2026-06-01,no
Bulk Zone 1177,North,2177,7.5,2026-06-02,yes
Bulk Zone 1178,South,2178,8.5,2026-06-03,yes
Bulk Zone 1179,North,2179,9.5,2026-06-04,no
Bulk Zone 1180,South,2180,10.5,2026-06-05,yes
Bulk Zone 1181,North,2181,11.5,2026-06-06,yes
Bulk Zone 1182,South,2182,12.5,2026-06-07,no
Bulk Zone 1183,North,2183,13.5,2026-06-08,yes
Bulk Zone 1184,South,2184,14.5,2026-06-09,yes
Bulk Zone 1185,North,2185,15.5,2026-06-10,no
Bulk Zone 1186,South,2186,16.5,2026-06-11,yes
Bulk Zone 1187,North,2187,17.5,2026-06-12,yes
Bulk Zone 1188,South,2188,18.5,2026-06-13,no
Bulk Zone 1189,North,2189,19.5,2026-06-14,yes
Bulk Zone 1190,South,2190,20.5,2026-06-15,yes
Bulk Zone 1191,North,2191,21.5,2026-06-16,no
Bulk Zone 1192,South,2192,22.5,2026-06-17,yes
Bulk Zone 1193,North,2193,23.5,2026-06-18,yes
Bulk Zone 1194,South,2194,24.5,2026-06-19,no
Bulk Zone 1195,North,2195,25.5,2026-06-20,yes
Bulk Zone 1196,South,2196,26.5,2026-06-21,yes
Bulk Zone 1197,North,2197,27.5,2026-06-22,no
Bulk Zone 1198,South,2198,28.5,2026-06-23,yes
Bulk Zone 1199,North,2199,29.5,2026-06-24,yes
Bulk Zone 1200,South,2200,30.5,2026-06-25,no
